No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
67,V,1.9,Prensa Libre,LXXIII,,17/08/2024,,3,Actualidad,Salud emite aleta por casos de viruela símica,,"Alex Rojas, Estuardo Gasparico M., Geovanni Contreras, Enrique García",Viruela del mono (símica),Ministerio de salud publica y asistencia social,Habitacion de hospitales,OMS,,,,
68,V,1.8,Prensa Libre,LXXIII,,16/08/2024,,20,Internacional,Alerta por rápido avance de la viruela símica,,William Oliva,Viruela del mono (símica),OMS,Mpox (monkey - pox),Muerte - Causas,,,,
69,V,1.7,Prensa Libre,LXXIII,,15/08/2024,,17,Internacional,OMS declara emergencia de viruela símica,,William Oliva,Viruela del mono (símica),OMS,Contagio,Muerte - Causas,,,,
70,V,1.6,Prensa Libre,LXXIL,,29/09/2022,,8,Salud y Vida,Salud no consigue rastrear más casos de viruela símica,,Ana Lucía Ola,Viruela del mono (símica),Ministerio de salud publica y asistencia social,Contagio,,,,,
71,V,1.5,El Periódico,26,,24/09/2022,,6,Nación ,Guatemala reporta 18 casos de la viruela del mono sin víctimas fatales,,EFE,Viruela del mono (símica),Epidemia,Enfermedades infecciosas,,,,,
72,V,1.4,El Periódico,26,,4/09/2022,,"12, 13",Centro,Contactos cercanos y viruela del mono. Mitos y realidades,,Geldi Muñoz Palala,Viruela del mono (símica),Contagio,Síntomas,,,,,
73,V,1.3,Prensa Libre,3,,4/09/2022,,3,Actualidad,Hombre de 31 años es el primer caso de viruela del mono en Guatemala,,"Julio Román, Andrea Domínguez, Henry Montenegro",Viruela del mono (símica),Epidemia,Ministerio de salud publica y asistencia social,Vacunas,,,,
74,V,1.2,Prensa Libre,LXXI,,11/08/2022,,3,Actualidad,Detectan tercer caso de viruela del mono,,"Julio Román, Andrea Domínguez",Viruela del mono (símica),Contagio,Vacunas,,,,,
75,V,1.1,Prensa Libre,LXXI,,28/07/2022,,3,Actualidad,Salud analiza la compra de vacunas contra viruela,,"Julio Román, María Andrea Domínguez",Viruela del mono (símica),Epidemia,Vacunas,Ministerio de salud publica y asistencia social,,,,
76,V,1.1,Prensa Libre,LXXI,,28/11/2021,,"13, 14, 15",Actualidad,pandemia trajo doble penuria a pacientes VIH,,Brenda Martínez,VIH,Pandemia,Tratamiento antirretroviral,,,,,
77,V,1.17,Prensa Libre,LXXIII,,17/02/2024,24489,8,Nación,Vacunan a más de mil hombres contra el VPH,,Ana Lucía Ola,Virus,Papiloma humano (VPH),Vacunas,,,,,
78,V,1.16,Prensa Libre,LXXIII,,28/12/2023,24439,6,Actualidad,Dosis contra VPH para 400 mil niños,,Ana Lucía Ola,Virus,Papiloma humano (VPH),Vacunas,,,,,
79,V,1.15,Prensa Libre,LXV,,15/07/2016,21746,44,Internacional,Expansión de zika sigue,,-,Virus,Zika,,,,,,
80,V,1.14,Prensa Libre,LXV,,8/07/2016,21739,4,Nacional,A luz casos de microcefalia,,Geldi Muñoz Palala,Virus,Zika,Niños recien nacidos,,,,,
81,V,1.13,El Periódico,20,,5/07/2016,7020,5,Nacional,Prensentan acciones para detener el Zika,,-,Virus,Zika,,,,,,
82,V,1.12,Prensa Libre,LXV,,3/06/2016,21704,18,Actualidad nacional,OPS alerta sobre fiebre amarilla,,Andrea Orozco,Virus,Fiebre amarilla,Zancudo,,,,,
83,V,1.11,Prensa Libre,LXV,,14/04/2016,21656,35,Internacional,Confirman vínculo entre zika y afección,,-,Virus,Zika,Microcefalia en fetos,,,,,
84,V,1.12,El Periódico,20,,14/04/2016,6938,2,,Vinculan al zika con defenctos neurológicos,,-,Virus ,Zika ,Cuidado y tratamiento,,,,,
85,V,1.1,Siglo XXI ,27,,30/03/2016,10254,5,Nacional,Guatemala tiene el nivel más bajo del Zika,,Jeraldy Rodríguez,Virus ,Zika ,Estadística,,,,,
86,V,1.9,El Periódico,20,,23/03/2016,6921,7,Nación,Confirman 217 casos de zika a nivel nacional,,-,Virus,Zika,Estadística,,,,,
87,V,1.8,Prensa Libre,LXV,,18/03/2016,21689,22,Actualidad nacional,Registran 261 casos de zika en cuatro meses,,Glenda Sánchez,Virus ,Salud,Centros de salud - Guatemala,,,,,
88,V,1.7,Siglo XXI ,27,,14/03/2016,10242,6,Nacional,"Sugieren mayor cuidado a embarazadas, por zika",,Jeraldy Rodríguez,Virus,Zika,Mujeres embarazadas (cuidados),,,,,
89,V,1.6,Prensa Libre,LXV,,9/03/2016,21614,26,Internacional,OMS lanza otra alerta por zika,,-,Virus,Zika,OMS,,,,,
90,V,1.5,Siglo XXI ,27,,9/03/2016,10337,8,Nacional,Atacarán el zika con tecnología nuclear,,-,Virus,Zika,,,,,,
91,V,1.4,Prensa Libre,LXV,,2/03/2016,21613,26,Internacional,Zika causa el mal Guillain-Barré,,-,Virus,Zika,Enfermedades,,,,,
92,V,1.3,Prensa Libre,LXV,,29/01/2016,21580,39,Internacional,"Virus se propaga rápido, dice OMS",,-,Virus,Zika,OMS,,,,,
93,V,1.2,El Periódico,20,,26/01/2016,6864,2,-,Datos clave sobre el virus zika,,-,Virus,Zika,,,,,,
94,V,1.1,Prensa Libre,LXV,,9/02/2016,21591,6,Actualidad nacional,Salud confirma 112 casos de zika,,Glenda Sánchez,Virus,Zika,Guatemala,,,,,
95,Z,1.7,Prensa Libre,LXIX,,18/02/2020,,14,Actualidad,Hallan supuestos fósiles,,Wilmer López,Zacapa,Estanzuela - zacapa,Fósiles de Mamut,,,,,
96,Z,1.6,Prensa Libre,LXVIII,,6/05/2019,,25,ciudades,Alarma por baja en caudal del río ,,Mario Morales,Zacapa,Rio- El Riachuelo - Bajo caudal,,,,,,
97,Z,1.5,El Periódico,20,,21/01/2016,,8,nación,Proyecto humanitario trabaja contra la desnutrición y la pobreza,,-,Zacapa,Proyectos de desarrollo,"Organizacion cristiana de beneficio social ""Esperanza de vida""",,,,,
98,Z,1.4,Siglo XXI ,26,,26/01/2016,,6,nacional,Reportan 29 casos de virus zika en Zacapa,,Byron Hernández,Zacapa,virus,zika,,,,,
99,Z,1.3,Prensa Libre,LXII,,10/02/2012,,6,Actualidad,ZONA SE POBLÓ EN EL SIGLO XVI  SAN JORGE quiere ser municipio,,Julio Vargas,Zacapa,Aldea San Jorge,,,,,,
100,Z,1.2,Siglo XXI ,18,,22/02/2008,,16,Página Verde,LAS GRANADILLAS UNO DE LOS ÚLTIMOS PULMONES DEL ORIENTE DEL PAÍS,,Claudia Palma,Zacapa,Las granadillas,,,,,,
101,Z,1.1,Prensa Libre,LIV,,5/12/2004,,24-25,Departamental,Zacapa La cuna del Sol ,,"Miguel Gonzáles, Gonzálo Hernández",Zacapa,Historia,,,,,,
102,W,1.6,DIARIO DE C.A.,CXXI,,13/02/2002,35614,15,Cultural,Gustavo Adolfo Wyld se confiesa,,Lic. Eduardo Gómez,"Wyld, Guatemala Adolfo",Wyld se confiesa,,,,,,
103,W,1.5,Siglo XXI ,7,,13/10/1996,,29,Guia 21,El tren,,Gustavo Adolfo Wyld,"Wyld, Guatemala Adolfo",,,,,,,
